id,kode_paket,kode_rup,tahun_anggaran,nama_instansi,satuan_kerja,nama_penyedia,nama_paket,total_nilai,nilai_pdn,sumber_transaksi,sumber_dana,metode_pengadaan,jenis_pengadaan,status_paket,created_at,updated_at
1069,889380,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT Sinaraya Nugraha Ahmadaris Medika,POLIXIDE Cairan Antiseptik 500 ml,3507000,3507000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1070,2895373,37007260,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. NUGRAHA PERKASA,Peningkatan Jalan Jl. Nusantara I,198402000,198402000,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1071,967966,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT Bayer Indonesia,Nifedipine/ Nifedipin tablet lepas lambat/kaplet lepas lambat 30 mg,5979000,5979000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1072,891491,34279496,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,CV.NURITEKNIK,Gynecological Examination Table NT 011-00BSS (Plus A),5.970E+7,5.970E+7,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1073,2885373,37019703,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV MAHARI PRATAMA,Rehabilitasi/Pemeliharaan Jalan Jl. Sutan Soripada Mulia,9.930E+7,9.930E+7,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1074,671487,34281017,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. Sampharindo Perdana,Amlodipin/ Amlodipine/ Amlodipine besilate tablet/kapsul/kaplet 10 mg,7.20E+6,7.20E+6,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1075,3058373,37044975,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. PARADISE PARK,Peningkatan SPAM Jaringan Perpipaan Ke Gedung Rumah Sakit Umum Komplek Perkantoran Payaloting,1.9700E+8,1.9700E+8,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1076,785815,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT Novartis Indonesia,Uperio 50 mg,1127700,0,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1077,2456373,35538407,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,PT. MARGA BHUANA JAYA CONSULTANT,Konsultan Perencanaan Pembangunan/ rehabilitasi Jalan Lingkungan,99822300,99822300,Non Tender,APBD,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1078,2778373,35760338,2022,KAB. MANDAILING NATAL,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.12.0000,BUANA ASRI,Pembangunan Taman Terminal Kotanopan,1.3135E+8,1.3135E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1079,2777373,35760342,2022,KAB. MANDAILING NATAL,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.12.0000,BUANA ASRI,Pemeliharaan Taman Depan MAN Panyabungan,127922673,127922673,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1080,708576,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT. Hexpharm Jaya Laboratories,Cefotaxime sodium/ Cefotaxime/ Sefotaksim serb inj 1.000 mg,2.85E+6,2.85E+6,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1081,2638373,35572805,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. NEOSOFT ART,Pembangunan Ruang Guru & Kepala Sekolah (DAK) - TK Satu Atap SD Negeri 331 Sinunukan,95929000,95929000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1082,1057697,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT. NOVELL PHARMACEUTICAL LABORATORIES,Triamcinolone acetonide/ Triamsinolon asetonid inj 10 mg/mL (G) (2),6.7E+5,6.7E+5,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1083,2646373,36578370,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. RADEN SALEH,Pengembangan Tembok Pengendali Banjir Sungai Batang Gadis Desa Hutabaringin TB Kec. Kotanopan Kab. Mandailing Natal (BKP),473141000,473141000,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1084,942070,34281364,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. GOLDEN GLOVE MEDICAL INDONESIA,Golden Glove Indonesia Latex Examination Gloves  Powder Free,134548000,134548000,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1085,2988373,37048448,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,cv. riski nauli,Rehabilitasi Jaringan Irigasi Saba Dolok Desa Banua Simanosor Kecamatan Naga Juang,9.800E+7,9.800E+7,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
