Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KNKKAR7AR1NZY18HRCH60HD1,66765523,2026,E-Katalog 6.0,BLUD,YARINDO FARMATAMA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,12218325,12218325
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KSRZ22J5BT27VE1ZDJF2JD3T,66765523,2026,E-Katalog 6.0,BLUD,ASTRAZENECA INDONESIA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,21174249,0
KAB. MANDAILING NATAL,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL - 2.12.0.00.0.00.11.0000,01KPQEKRF9XTCETXKPAC9Y8N2A,66115972,2026,E-Katalog 6.0,APBD,VIRGO WIRA PERKASA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,PAYMENT OUTSIDE SYSTEM,633518070,633518070
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KNKCMF7JMYG6DZ3C2KVZ3XG8,66765523,2026,E-Katalog 6.0,BLUD,ASTRAZENECA INDONESIA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,42348498,0
KAB. MANDAILING NATAL,DINAS PERDAGANGAN - 3.30.3.31.0.00.23.0000,10858030000,65155607,2026,Non Tender,APBD,CV. BANGKIT BERSAMA GROUP,Pengadaan Langsung,Pekerjaan Konstruksi,Rehabilitasi Pasar Sinonoan Kecamatan Siabu,BERLANGSUNG,149200000,149200000
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.22.0000,01KKDKJA0VZ1BFCVF010YRJM7B,65654718,2026,E-Katalog 6.0,APBD,SETYA SARI SUKSES,E-Purchasing,Barang,Belanja Obat-Obatan-Obat-Obatan Lainnya,PAYMENT OUTSIDE SYSTEM,60299680,60299680
KAB. MANDAILING NATAL,DINAS PERDAGANGAN - 3.30.3.31.0.00.23.0000,01KJPRKEQJD5ZZYF54Z5CQQMSS,65155872,2026,E-Katalog 6.0,APBD,HANAYA KARYA PERSADA,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Kebersihan dan Jasa Tenaga Keamanan Pasar,ON PROCESS,1014000000,1014000000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KQ19TK5QFC03M14D1SZJRDHH,66765523,2026,E-Katalog 6.0,BLUD,NOVELL PHARMACEUTICAL LABORATORIES,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,3907200,3907200
KAB. MANDAILING NATAL,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.10.0000,01KRFR52N873P2VVQPRWYX5J6S,67018640,2026,E-Katalog 6.0,APBD,BARINGIN MADANI,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Kebersihan,ON PROCESS,588000000,588000000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KPT0P7Y6FAX98S2BK3SGFRFJ,66334964,2026,E-Katalog 6.0,BLUD,JAYAMAS MEDICA INDUSTRI,E-Purchasing,Barang,Belanja Modal Peralatan dan Mesin BLUD,ON PROCESS,110556000,110556000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10811203000,66698648,2026,Non Tender,BLUD,cv. bugis nauli,Pengadaan Langsung,Pekerjaan Konstruksi,"Belanja Modal Gedung dan Bangunan BLUD
Instalasi dan Pemasangan Gas Medis Pada Gedung Radiologi",SELESAI,147901347,147901347
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,01KR3BJ6YHZNGZN1QK6KNFQV5B,65477682,2026,E-Katalog 6.0,APBD,BERNOFARM,E-Purchasing,Barang,"Pengadaan Obat, Vaksin (DAU PERUNTUKAN KESEHATAN)",ON PROCESS,48719565,48719565
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KQ1CPKRJ52RPRRQGP6H7JZFN,66808362,2026,E-Katalog 6.0,BLUD,ESSITY HYGIENE AND HEALTH INDONESIA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,21695172,21695172
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KP7TQQAQMJQ0XR36C5PTX8P0,66336477,2026,E-Katalog 6.0,BLUD,MEDTEK,E-Purchasing,Barang,Belanja Modal Peralatan dan Mesin BLUD,ON PROCESS,54667500,0
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KN66DAG6A4KPJ5XPRYZHNDGD,66765523,2026,E-Katalog 6.0,BLUD,FERRON PAR PHARMACEUTICALS,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,1754910,1754910
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KQBV392EFKPK165NCJPBSXD7,66765523,2026,E-Katalog 6.0,BLUD,TRIFA RAYA LABORATORIES,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,8757900,8757900
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,01KPT3PW51Z5Z9CYH7D1A9WXFG,65477997,2026,E-Katalog 6.0,APBD,BERNOFARM,E-Purchasing,Barang,"Belanja Obat-Obatan-Obat -Pengadaan Obat, Vaksin (BOK)",ON PROCESS,599407881,599407881
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KQKERZ6EF5ER65AW9CB17TNA,66808316,2026,E-Katalog 6.0,BLUD,INSABA MEDIA UTAMA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,32705040,32705040
